# ====================================================================
# Уровень говна от ИИшки
# FOREST FOLLIES (ТОЧНАЯ МЕХАНИЧЕСКАЯ КОПИЯ ДЛЯ БАЗОВОЙ ФИЗИКИ)
# Макс. высота прыжка: ~140px | Макс. длина: ~300px
# ====================================================================

# --------------------------------------------------------------------
# 1. СТАРТОВАЯ ПОЛЯНА
# Гладкая земля для разгона.
# --------------------------------------------------------------------
0 600 900 100

# --------------------------------------------------------------------
# 2. ПЕРВАЯ ЯМА И КАМЕНЬ (Прыжок через шипы)
# В оригинале тут яма с шипами. Мы делаем разрыв 120px и уступ.
# --------------------------------------------------------------------
1020 600 600 100

# Полуплатформа (камень), с которой удобно перепрыгнуть следующую яму
1200 490 120 20


# --------------------------------------------------------------------
# 3. ПОДВЕСНЫЕ БРЕВНА (Зоны без земли)
# Серия из трех платформ в воздухе. Земли под ними НЕТ.
# Прыгать нужно в ритме: прямо, вверх-вправо, вниз-вправо.
# --------------------------------------------------------------------
# Зазор от прошлой земли = 180px
1800 490 120 20

# Второе бревно (выше)
2020 380 120 20

# Третье бревно (ниже, выход из зоны пропасти)
2250 490 120 20


# --------------------------------------------------------------------
# 4. АРЕНА "ЖЕЛУДЕВАЯ МАШИНА"
# В оригинале тут стоит мини-босс, плюющийся желудями. 
# Можно прыгать по верхним веткам или бежать внизу.
# --------------------------------------------------------------------
# Земля продолжается после пропасти
2450 600 1200 100

# Нижняя ветка (для уклонения)
2650 480 200 20

# Верхняя ветка (чтобы перепрыгнуть "машину")
2950 360 250 20

# Спуск с машины
3300 480 150 20


# --------------------------------------------------------------------
# 5. ДЛИННЫЙ БЕГ И ПЕРЕПАД ВЫСОТ
# Холмистая местность, где катятся враги.
# --------------------------------------------------------------------
3750 600 600 100

# Высокий холм-препятствие (нужно запрыгивать)
4350 490 800 110

# Платформы над холмом (защита от жуков)
4550 370 200 20
4850 370 200 20


# --------------------------------------------------------------------
# 6. ФИНАЛ (Арена цветка)
# Широкая ровная плоскость с тремя островками в воздухе.
# --------------------------------------------------------------------
5300 600 1200 100

# Левый островок
5500 480 150 20

# Центральный островок (выше)
5750 360 250 20

# Правый островок
6100 480 150 20
